encoding,auroc,f1,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.8192069984651057,0.8267182962245886,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.876030746873061,0.876984126984127,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8179558146370138,0.8265895953757225,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8597612749420332,0.8688212927756654,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8220012409784135,0.8304431599229287,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8410812840860847,0.8568790397045245,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8154493648149962,0.8218111002921129,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.874871411776232,0.8727272727272727,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8107324221939192,0.8203650336215178,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8887548577773424,0.8970727101038716,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8111161457823063,0.818973862536302,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8436918291368668,0.8677248677248677,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8049561575389439,0.8181818181818182,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8537012997616015,0.870201096892139,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7986002253355541,0.8135593220338984,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8787290584892721,0.8807881773399014,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7963856503706607,0.8123827392120075,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8228850298814538,0.848,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8040886972992392,0.8167141500474834,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8666927925280038,0.8723404255319149,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8027415825740505,0.8169811320754717,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8631474315012573,0.8839681133746679,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8114080206394305,0.8225190839694656,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.853125714379021,0.8716094032549728,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.807654469155155,0.8222013170272813,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8674724862022795,0.8806660499537465,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8166086999118252,0.8267942583732057,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8777697495183044,0.8830917874396135,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8161249632605074,0.8239845261121856,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8327148852094968,0.8611111111111112,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7984083635413606,0.8142589118198874,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8765267300218804,0.88909426987061,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.810828353091016,0.8200192492781521,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8745836190849416,0.8734939759036144,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8025497207798569,0.8176691729323309,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8870158551320989,0.8914728682170543,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8011985238888345,0.8133333333333334,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8703626596126841,0.8837638376383764,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8095771692629241,0.8199233716475096,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8597653571078672,0.8723205964585274,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8090975147774404,0.8216318785578748,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8450348616962216,0.864376130198915,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7960978576793704,0.8134328358208955,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8678602919565004,0.8829981718464351,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8103486986055322,0.8217349857006673,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8305003102446034,0.8598615916955017,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7965775121648542,0.8116760828625236,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8703422487835145,0.8661899897854954,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8272978511479051,0.8344627299128751,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8428202867313281,0.863063063063063,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8060154795728423,0.818957345971564,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8839419842591685,0.8948837209302326,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8035090297508247,0.814176245210728,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8434958851768395,0.864816472694718,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8074585251951276,0.8183556405353728,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8421487704516508,0.8647686832740213,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8018782045001795,0.8200371057513914,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8624595865582444,0.8725212464589235,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7982124195813332,0.8102955195424214,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8502355409686163,0.8685403445149592,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7978286959929461,0.8117313150425733,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8773860259299173,0.8839884947267498,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7972490284445315,0.8091603053435115,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8778697625812351,0.8861480075901328,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7950385356454721,0.8126747437092264,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8802680350086542,0.8804780876494024,binary,resnet,immune
