encoding,auroc,f1,task,type,dataset
WCYKMVHQFDGRLITNEASP,0.74652385377165,0.8290293855743545,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7397013151175736,0.7357340720221607,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7473253974233405,0.8310421286031042,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7418499264728452,0.8279522335249889,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7421610565587058,0.8251561106155219,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7401512678202199,0.7778894472361809,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7503969350198537,0.8323699421965318,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7350294806220369,0.7543398211467649,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7498179261156734,0.8302055406613047,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7501227777917298,0.7834008097165992,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7396238813966531,0.8251996450754214,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7546620680802856,0.7754038561750912,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.738823035346052,0.8274647887323944,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7352610841837092,0.8213333333333334,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7479037087264315,0.8289414917373827,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7327685554913763,0.8222320247022497,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7489724335953523,0.8316303864948912,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7572041264499638,0.8120229007633588,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7441645668873877,0.8280764104842292,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7616087797282705,0.7971957936905358,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7455451194432585,0.8322324966974901,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7771004071199957,0.8072653884964682,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7520439711918654,0.8329621380846325,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7288522229756313,0.8266320795503674,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7412269687000343,0.829225352112676,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7333852348543827,0.776949826130154,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7499958143934637,0.8292245629762438,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7586760647485427,0.8318985047575895,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7510645392623845,0.8319215336602764,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7556924248892907,0.8234209313047487,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7463906119635797,0.8308237378210807,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7591657807132832,0.832427536231884,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7451439988168685,0.8291167332445628,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.759340878586716,0.8131868131868132,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7446542828521281,0.8285968028419183,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7501297538026235,0.8317008014247551,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7442092133571075,0.8289007092198581,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7511894098573825,0.7697954902988988,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7456783612513289,0.8304559539619301,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7609460586933653,0.8312043795620438,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7471914580141809,0.8285714285714286,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7590311437030339,0.8254847645429363,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.741582745255615,0.8272807794508414,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.6966237502476484,0.8160535117056856,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7481708899436618,0.8296164139161463,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7490603313326135,0.8246488445854101,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7410930292908746,0.8267611874169252,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7664619905070444,0.8072942336126171,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7407372527352938,0.8287098194627918,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.725334220681919,0.8171000440722785,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7498625725853935,0.831029870708872,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7690410217344595,0.786833855799373,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7517767899746353,0.8322925958965209,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7160149677289736,0.6797385620915033,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7482601828831016,0.8312611012433393,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7403793833764452,0.8176043557168784,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7511091857321044,0.8327402135231317,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7283597166065334,0.808529945553539,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7451439988168685,0.8291167332445628,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7120086446726994,0.6784869976359338,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7467024396505297,0.8323036187113857,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7615222771931882,0.8152744630071599,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7422949959678657,0.8276473194505981,binary,custom,deeploc
