f1,dataset,model,odr,rank
0.6991747642048876,Pfam,resnet,0.9,q3
0.7405375559849677,Pfam,resnet,0.9,q3
0.7070294809810033,Pfam,resnet,0.9,q3
0.7374176085944744,Pfam,resnet,0.9,q3
0.7361597133087286,Pfam,resnet,0.9,q3
0.6978776417424105,Pfam,resnet,0.9,q3
0.7558832706842946,Pfam,resnet,0.9,q3
0.733112479590368,Pfam,resnet,0.9,q3
0.7508209887720281,Pfam,resnet,0.9,q3
0.7286676285268927,Pfam,resnet,0.9,q3
0.6511140079070767,Pfam,resnet,0.5,q2
0.5710589062627691,Pfam,resnet,0.5,q2
0.6324761261723595,Pfam,resnet,0.5,q2
0.676270643359229,Pfam,resnet,0.5,q2
0.6026308281485047,Pfam,resnet,0.5,q2
0.6348300037025292,Pfam,resnet,0.5,q2
0.683934122490274,Pfam,resnet,0.5,q2
0.6179755978282403,Pfam,resnet,0.5,q2
0.6885415535466048,Pfam,resnet,0.5,q2
0.6581139522407617,Pfam,resnet,0.5,q2
0.6496612773370696,Pfam,resnet,0.6,q2
0.6855753137286429,Pfam,resnet,0.6,q2
0.6901566186299604,Pfam,resnet,0.6,q2
0.7214086527239141,Pfam,resnet,0.6,q2
0.679964530438907,Pfam,resnet,0.6,q2
0.5871472588222738,Pfam,resnet,0.6,q2
0.7468709911777827,Pfam,resnet,0.6,q2
0.6841883211588973,Pfam,resnet,0.6,q2
0.7099611680193156,Pfam,resnet,0.6,q2
0.7078189818353331,Pfam,resnet,0.6,q2
0.6902978622421323,Pfam,resnet,0.7,q2
0.7261090101534029,Pfam,resnet,0.7,q2
0.7069643141877784,Pfam,resnet,0.7,q2
0.6753236703290476,Pfam,resnet,0.7,q2
0.7294003838516014,Pfam,resnet,0.7,q2
0.6867163977026608,Pfam,resnet,0.7,q2
0.7016641321312058,Pfam,resnet,0.7,q2
0.6433626101840538,Pfam,resnet,0.7,q2
0.6746275622472324,Pfam,resnet,0.7,q2
0.6583331223895684,Pfam,resnet,0.7,q2
0.7310436240648852,Pfam,resnet,0.8,q2
0.6866302334603146,Pfam,resnet,0.8,q2
0.7055219919821013,Pfam,resnet,0.8,q2
0.7188640283328706,Pfam,resnet,0.8,q2
0.7264647196307841,Pfam,resnet,0.8,q2
0.7042814653863724,Pfam,resnet,0.8,q2
0.7368236861720183,Pfam,resnet,0.8,q2
0.735221327487141,Pfam,resnet,0.8,q2
0.731537588198018,Pfam,resnet,0.8,q2
0.7317369871749767,Pfam,resnet,0.8,q2
0.741377428939489,Pfam,resnet,0.9,q2
0.7016472371740077,Pfam,resnet,0.9,q2
0.7515029869248189,Pfam,resnet,0.9,q2
0.7246043406488587,Pfam,resnet,0.9,q2
0.7572617823193493,Pfam,resnet,0.9,q2
0.7459016195571808,Pfam,resnet,0.9,q2
0.7419429902793833,Pfam,resnet,0.9,q2
0.7558188380756763,Pfam,resnet,0.9,q2
0.7446720131375518,Pfam,resnet,0.9,q2
0.7576633910125987,Pfam,resnet,0.9,q2
0.7080565169346027,Pfam,resnet,0.3,mix
0.6942732378046841,Pfam,resnet,0.3,mix
0.7099243878248256,Pfam,resnet,0.3,mix
0.6860112907392393,Pfam,resnet,0.3,mix
0.6527135651460585,Pfam,resnet,0.3,mix
0.651260020826413,Pfam,resnet,0.3,mix
0.6921095561455923,Pfam,resnet,0.3,mix
0.6242890949791822,Pfam,resnet,0.3,mix
0.6693867421439793,Pfam,resnet,0.3,mix
0.6240501398947649,Pfam,resnet,0.3,mix
0.6746010989555714,Pfam,resnet,0.4,mix
0.7033021243649431,Pfam,resnet,0.4,mix
0.6805498979629396,Pfam,resnet,0.4,mix
0.6459603675143737,Pfam,resnet,0.4,mix
0.7035215239259152,Pfam,resnet,0.4,mix
0.7049520981661865,Pfam,resnet,0.4,mix
0.6723202797510419,Pfam,resnet,0.4,mix
0.6957779787950387,Pfam,resnet,0.4,mix
0.6769772241454051,Pfam,resnet,0.4,mix
0.6735912422901534,Pfam,resnet,0.4,mix
0.6489237062790082,Pfam,resnet,0.5,mix
0.5542851065658647,Pfam,resnet,0.5,mix
0.6866290442534076,Pfam,resnet,0.5,mix
0.6534362936681554,Pfam,resnet,0.5,mix
0.6176183323918556,Pfam,resnet,0.5,mix
0.6786619167938894,Pfam,resnet,0.5,mix
0.5615110113935137,Pfam,resnet,0.5,mix
0.6416967700740199,Pfam,resnet,0.5,mix
0.6744425144575554,Pfam,resnet,0.5,mix
0.6495098766054823,Pfam,resnet,0.5,mix
0.6996992399597859,Pfam,resnet,0.6,mix
0.6970248470213203,Pfam,resnet,0.6,mix
0.6935634469721501,Pfam,resnet,0.6,mix
0.6967880643941103,Pfam,resnet,0.6,mix
0.6897154175245983,Pfam,resnet,0.6,mix
0.7079559381153192,Pfam,resnet,0.6,mix
0.6741470979784859,Pfam,resnet,0.6,mix
0.6558616209821974,Pfam,resnet,0.6,mix
0.6157905800231727,Pfam,resnet,0.6,mix
0.6815996627677201,Pfam,resnet,0.6,mix
0.7463114551402936,Pfam,resnet,0.7,mix
0.7325717180944652,Pfam,resnet,0.7,mix
0.721657448316664,Pfam,resnet,0.7,mix
0.7452406500598411,Pfam,resnet,0.7,mix
0.7149524897753651,Pfam,resnet,0.7,mix
0.7284045971721536,Pfam,resnet,0.7,mix
0.7113829846599936,Pfam,resnet,0.7,mix
0.6831442400818708,Pfam,resnet,0.7,mix
0.7345930444823514,Pfam,resnet,0.7,mix
0.7309637140058997,Pfam,resnet,0.7,mix
0.7375455571525923,Pfam,resnet,0.8,mix
0.7200418498657328,Pfam,resnet,0.8,mix
0.7241687021140962,Pfam,resnet,0.8,mix
0.6992037156055043,Pfam,resnet,0.8,mix
0.7230415601395093,Pfam,resnet,0.8,mix
0.7327762022739013,Pfam,resnet,0.8,mix
0.72190673526919,Pfam,resnet,0.8,mix
0.7556126526198015,Pfam,resnet,0.8,mix
0.6928042652704471,Pfam,resnet,0.8,mix
0.7020963144296715,Pfam,resnet,0.8,mix
0.7341843886978683,Pfam,resnet,0.9,mix
0.7696949373379823,Pfam,resnet,0.9,mix
0.6637988459207343,Pfam,resnet,0.9,mix
0.7511486977262776,Pfam,resnet,0.9,mix
0.7601198301350617,Pfam,resnet,0.9,mix
0.7380519660913853,Pfam,resnet,0.9,mix
0.6863449140875659,Pfam,resnet,0.9,mix
0.7052961567062335,Pfam,resnet,0.9,mix
0.7365680243266249,Pfam,resnet,0.9,mix
0.7640604813219398,Pfam,resnet,0.9,mix
0.685682326621924,Deeploc,resnet,0.3,mix
0.7725284339457568,Deeploc,resnet,0.3,mix
0.6806105144149237,Deeploc,resnet,0.3,mix
0.7652859960552268,Deeploc,resnet,0.3,mix
0.7177628171931641,Deeploc,resnet,0.3,mix
0.6809954751131222,Deeploc,resnet,0.3,mix
0.7696793002915452,Deeploc,resnet,0.3,mix
0.6526195899772209,Deeploc,resnet,0.3,mix
0.6757834757834758,Deeploc,resnet,0.3,mix
0.7504892367906066,Deeploc,resnet,0.3,mix
0.6117054751415985,Deeploc,resnet,0.4,mix
0.7562530652280529,Deeploc,resnet,0.4,mix
0.7697729052466719,Deeploc,resnet,0.4,mix
0.7289124668435013,Deeploc,resnet,0.4,mix
0.699537750385208,Deeploc,resnet,0.4,mix
0.7262626262626263,Deeploc,resnet,0.4,mix
0.6275449101796408,Deeploc,resnet,0.4,mix
0.7745614035087719,Deeploc,resnet,0.4,mix
0.6512935883014623,Deeploc,resnet,0.4,mix
0.7720888083371092,Deeploc,resnet,0.4,mix
0.7659770114942529,Deeploc,resnet,0.5,mix
0.7241895261845387,Deeploc,resnet,0.5,mix
0.7732603596559813,Deeploc,resnet,0.5,mix
0.7662037037037037,Deeploc,resnet,0.5,mix
0.7758913412563667,Deeploc,resnet,0.5,mix
0.7713226205191595,Deeploc,resnet,0.5,mix
0.7929143821172501,Deeploc,resnet,0.5,mix
0.7115697990222705,Deeploc,resnet,0.5,mix
0.6580281690140845,Deeploc,resnet,0.5,mix
0.7484162895927602,Deeploc,resnet,0.5,mix
0.6666666666666666,Deeploc,resnet,0.6,mix
0.7395301327885597,Deeploc,resnet,0.6,mix
0.694058856191005,Deeploc,resnet,0.6,mix
