Accuracy,Class0_Accuracy,Class1_Accuracy,Train_Class0_Count,Train_Class1_Count,Dataset,Ratio
0.6051318602993585,0.8418803418803419,0.3680456490727532,2704,2706,Max,0.7
0.594440484675695,0.7934472934472935,0.39514978601997147,2704,2706,Max,0.7
0.6258018531717747,0.9202279202279202,0.3309557774607703,2367,2367,Max,0.8
0.6749821810406272,0.7735042735042735,0.5763195435092725,2367,2368,Max,0.8
0.6279401282965075,0.9002849002849003,0.35520684736091296,2367,2368,Max,0.8
0.6657163221667854,0.8276353276353277,0.5035663338088445,2367,2368,Max,0.8
0.6258018531717747,0.9188034188034188,0.33238231098430815,2367,2368,Max,0.8
0.6535994297933001,0.8774928774928775,0.42938659058487877,2367,2368,Max,0.8
0.6514611546685674,0.8675213675213675,0.43509272467902993,2367,2368,Max,0.8
0.6208125445473984,0.9173789173789174,0.3238231098430813,2367,2368,Max,0.8
0.6250890947968638,0.9074074074074074,0.34236804564907275,2367,2368,Max,0.8
0.6478973627940128,0.8817663817663818,0.4136947218259629,2367,2368,Max,0.8
0.6742694226657163,0.8404558404558404,0.5078459343794579,2103,2104,Max,0.9
0.6749821810406272,0.8418803418803419,0.5078459343794579,2103,2104,Max,0.9
0.6664290805416964,0.8475783475783476,0.48502139800285304,2103,2104,Max,0.9
0.6721311475409836,0.8347578347578347,0.5092724679029957,2103,2104,Max,0.9
0.6585887384176764,0.8618233618233618,0.4550641940085592,2103,2104,Max,0.9
0.6792587312900926,0.8247863247863247,0.5335235378031383,2104,2104,Max,0.9
0.6600142551674982,0.8660968660968661,0.4536376604850214,2104,2104,Max,0.9
0.6756949394155382,0.8347578347578347,0.5164051355206848,2104,2104,Max,0.9
0.6628652886671419,0.8361823361823362,0.4893009985734665,2103,2105,Max,0.9
0.66928011404134,0.8347578347578347,0.5035663338088445,2103,2105,Max,0.9
0.5609408410548824,0.5769230769230769,0.5449358059914408,3787,3788,Q1,0.5
0.5980042765502495,0.8418803418803419,0.3537803138373752,3787,3788,Q1,0.5
0.5851746258018532,0.7293447293447294,0.44079885877318115,3787,3788,Q1,0.5
0.5659301496792587,0.6452991452991453,0.4864479315263909,3787,3788,Q1,0.5
0.5837491090520314,0.9572649572649573,0.20970042796005706,3787,3788,Q1,0.5
0.5531004989308624,0.5413105413105413,0.5649072753209701,3787,3788,Q1,0.5
0.5652173913043478,0.6011396011396012,0.5292439372325249,3787,3788,Q1,0.5
0.5751960085531005,0.6823361823361823,0.46790299572039945,3788,3788,Q1,0.5
0.5516749821810406,0.5227920227920227,0.5805991440798859,3788,3788,Q1,0.5
0.6044191019244476,0.8945868945868946,0.31383737517831667,3787,3789,Q1,0.5
0.6122594440484675,0.7193732193732194,0.5049928673323824,3156,3157,Q1,0.6
0.5844618674269423,0.717948717948718,0.4507845934379458,3156,3157,Q1,0.6
0.5580898075552387,0.5584045584045584,0.557774607703281,3156,3157,Q1,0.6
0.5923022095509622,0.7535612535612536,0.43081312410841655,3156,3157,Q1,0.6
0.6222380612972203,0.6011396011396012,0.6433666191155493,3156,3157,Q1,0.6
0.5930149679258732,0.707977207977208,0.47788873038516405,3157,3157,Q1,0.6
0.5965787598004276,0.8760683760683761,0.3166904422253923,3157,3157,Q1,0.6
0.5830363506771205,0.6837606837606838,0.48216833095577744,3157,3157,Q1,0.6
0.5915894511760513,0.8561253561253561,0.32667617689015693,3156,3158,Q1,0.6
0.6115466856735566,0.8888888888888888,0.3338088445078459,3156,3158,Q1,0.6
0.6635780470420527,0.7905982905982906,0.536376604850214,2704,2705,Q1,0.7
0.6101211689237348,0.8247863247863247,0.39514978601997147,2705,2705,Q1,0.7
0.5937277263007841,0.7492877492877493,0.43794579172610554,2705,2705,Q1,0.7
0.6514611546685674,0.7905982905982906,0.5121255349500713,2705,2705,Q1,0.7
0.662152530292231,0.7350427350427351,0.5891583452211127,2705,2705,Q1,0.7
0.6250890947968638,0.8903133903133903,0.3594864479315264,2705,2705,Q1,0.7
0.5887384176764077,0.7492877492877493,0.42796005706134094,2704,2706,Q1,0.7
0.5972915181753385,0.7720797720797721,0.4222539229671897,2704,2706,Q1,0.7
0.6122594440484675,0.8347578347578347,0.38944365192582026,2704,2706,Q1,0.7
0.5937277263007841,0.7535612535612536,0.43366619115549215,2704,2706,Q1,0.7
0.6635780470420527,0.8390313390313391,0.48787446504992865,2367,2367,Q1,0.8
0.6600142551674982,0.8333333333333334,0.4864479315263909,2367,2368,Q1,0.8
0.6628652886671419,0.8347578347578347,0.49072753209700426,2367,2368,Q1,0.8
0.6707056307911617,0.8276353276353277,0.5135520684736091,2367,2368,Q1,0.8
0.6486101211689237,0.8504273504273504,0.44650499286733236,2367,2368,Q1,0.8
0.6707056307911617,0.8205128205128205,0.5206847360912982,2367,2368,Q1,0.8
0.654312188168211,0.8319088319088319,0.4764621968616263,2367,2368,Q1,0.8
0.6742694226657163,0.8319088319088319,0.5164051355206848,2367,2368,Q1,0.8
0.6785459729151817,0.801994301994302,0.5549215406562055,2367,2368,Q1,0.8
0.6642908054169636,0.8276353276353277,0.5007132667617689,2367,2368,Q1,0.8
0.6714183891660727,0.8475783475783476,0.4950071326676177,2103,2104,Q1,0.9
0.6785459729151817,0.8404558404558404,0.5164051355206848,2103,2104,Q1,0.9
0.6650035637918745,0.8603988603988604,0.4693295292439372,2103,2104,Q1,0.9
0.6628652886671419,0.8447293447293447,0.48074179743223966,2103,2104,Q1,0.9
0.6628652886671419,0.8532763532763533,0.47218259629101283,2103,2104,Q1,0.9
