encoding,auroc,accuracy,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.7356438056565547,0.41638595458768285,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8043987711787569,0.4018924445322435,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7310601168404249,0.34255004384850574,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8110808161141568,0.44520668818672277,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.73714550758621,0.3567400701438094,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8107948381382336,0.46375604283602156,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7182486566283008,0.36332553903263864,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8035529515659187,0.45323066363244174,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7077461834152997,0.29975235569225056,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8107307798076739,0.44283840858060086,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7373397764358153,0.39876815332871923,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8071457629257764,0.4604905217387715,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6712326790025702,0.3193628683136901,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.803329774347807,0.4424300668237799,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7179017251751714,0.34282512469100707,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8068833510631446,0.39112446647303506,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7238801829301622,0.32101171458998934,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8052808669367211,0.3806576435720808,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7359982623451238,0.4016615518517919,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8063894730438304,0.3944703836227853,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7434506972385384,0.3706818448429336,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8022293767053675,0.38844732362905304,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7367496269196048,0.38770724446719795,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.7986355799241587,0.42419105550132147,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7272980357488715,0.3935826349147321,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8023446090039199,0.38622061376151906,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7571568179935091,0.39172943858240716,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.808409173618362,0.4645449772580833,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7455723996324484,0.39606824327059165,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8075654023351948,0.4238638535779294,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7330644522319228,0.3703170267759578,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8055164000639092,0.41599400746329984,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7298420767290601,0.351076526615283,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8088696692015466,0.45361461503769984,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7226779862643522,0.3027587571543049,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8078440344017827,0.41974635976491975,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7216153546588681,0.37331168880991145,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8099211479191117,0.4686265498001597,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7240303587056198,0.3470266918301747,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8089047775530925,0.4270113092410804,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7234898094748214,0.32145117176482263,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8087974765667715,0.4321020027435045,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7409247065379463,0.40339191730005586,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.806720203343616,0.41823240348219104,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7404189439912167,0.3457264628711535,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8063136146347158,0.38903415667484526,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7342028744052469,0.35796759309413345,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8033330744990413,0.3874995759480162,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7133143348282578,0.3677053303833312,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8080439250865638,0.4167546750240782,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7075178660158928,0.29954759576397044,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8069789267080483,0.4386126348737459,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7221500341376754,0.3432947427984297,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8067121099200276,0.39328246731051,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7142305351667397,0.31456996586489605,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8064360146595003,0.4440579237567331,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7190139073209634,0.37135317236630794,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8088684969471964,0.4551931334125355,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7272270958212639,0.32954262577511984,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8103488686252227,0.4383109669228008,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7216044615029432,0.36604712906101333,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8038799583599175,0.4001706512900583,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7316084171192963,0.36777158842663815,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8058349794983425,0.4420228818123012,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7173773681967448,0.3126632075910552,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8014794603589307,0.43309325891738404,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7174940925969792,0.2915024510596874,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8031581631264448,0.41544343513205745,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7026295126339124,0.3527236255022314,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8050532557720341,0.4481774208170054,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7350111976944624,0.40198695711705107,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.7976342070048993,0.4680519353856337,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7547795926323244,0.40018730127082736,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.802634033194128,0.4509348309128279,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7421454233375732,0.40760257695609275,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8055561353703092,0.45620888139234095,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.748720127014346,0.3980747564144534,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8082110943213741,0.41165061898068733,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.735826485262183,0.3776223027630795,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8061425550665937,0.39301489744660806,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7280696913733677,0.3485256168722059,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8081234914200403,0.4320712799342961,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7445461705834387,0.400839287521643,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8062790586826092,0.39687831043057575,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.716242514578818,0.3725515344275116,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8107308804445491,0.46387127310269144,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7367272739495986,0.366715841402687,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8040646217069041,0.40761295843037965,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7221111777977833,0.4244539468292655,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8060777928826989,0.44756153724366393,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7276542772637387,0.35370765707975993,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8063233870829863,0.4416491440213788,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7204347762661782,0.40036511438677014,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8050565665617778,0.4748316362732582,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7041948937143003,0.33138531892888945,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8042402665492643,0.46284125985733315,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7020057498921266,0.332458420371481,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8060555543064641,0.4578580784229417,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7067495992120664,0.32322474245288096,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8038379045078659,0.41554633070245217,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7168889073287614,0.37196877425683256,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8067583761313868,0.46013644766455003,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6989238998754317,0.34347761941400134,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8072542722455003,0.4078045310345829,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7558545102944392,0.3798661555611454,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8097710633157691,0.4284898032554397,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7278884305043481,0.3368140649455326,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.803679377493666,0.4617397105244706,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6959164102693075,0.3695275145005962,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8081736740151791,0.4576757851864925,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6972009179378412,0.2659691232104921,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8045893067598724,0.4425302649107688,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7249481764590859,0.3632893350438432,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8012727364565114,0.4308307271020718,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7121928135319318,0.33208029438551284,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8097613612292351,0.4528905722009364,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7240756196132705,0.35617123280466656,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8080245439933933,0.467085323066883,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7265153989873551,0.3423131845588733,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8042420225401441,0.45928797270970073,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7005402874810656,0.34807413761427486,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8079719289419632,0.47775540273025785,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7209637965638155,0.4080191833461953,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.80365107980757,0.44371201276943106,multiclass,custom,tox
